section,run_id,method,n,metric,mean,std
raw_public_main,r026_tail_risk_linear_atlas_raw_public,LR-TailRisk,3,Brier,0.013093253896378762,0.0016784802690113616
raw_public_main,r026_tail_risk_linear_atlas_raw_public,LR-TailRisk,3,Analog-Fidelity@5,,
raw_public_main,r026_tail_risk_linear_atlas_raw_public,LR-TailRisk,3,TTE-Err@1,,
raw_public_main,r026_tail_risk_linear_atlas_raw_public,LR-TailRisk,3,AUROC,,
raw_public_main,r026_tail_risk_linear_atlas_raw_public,LR-TailRisk,3,LogLoss,,
raw_public_main,r026_tail_risk_linear_atlas_raw_public,LR-TailRisk,3,ECE@10,,
raw_public_main,r026_tail_risk_linear_atlas_raw_public,LR-TailRisk,3,BestF1,,
raw_public_main,r026_tail_risk_linear_atlas_raw_public,LR-TailRisk,3,Precision@P80,0.3333333333333333,0.4714045207910317
raw_public_main,r026_tail_risk_linear_atlas_raw_public,LR-TailRisk,3,Recall@P80,0.027777777777777776,0.039283710065919304
raw_public_main,r027_dlinear_forecaster_atlas_raw_public,DLinear-Forecaster,3,AUPRC,0.004194605587768066,5.982389525506869e-07
raw_public_main,r027_dlinear_forecaster_atlas_raw_public,DLinear-Forecaster,3,LeadTime@P80,0.0,0.0
raw_public_main,r027_dlinear_forecaster_atlas_raw_public,DLinear-Forecaster,3,Brier,0.7048469210555931,0.06820825519155291
raw_public_main,r027_dlinear_forecaster_atlas_raw_public,DLinear-Forecaster,3,Analog-Fidelity@5,,
raw_public_main,r027_dlinear_forecaster_atlas_raw_public,DLinear-Forecaster,3,TTE-Err@1,,
raw_public_main,r027_dlinear_forecaster_atlas_raw_public,DLinear-Forecaster,3,AUROC,,
raw_public_main,r027_dlinear_forecaster_atlas_raw_public,DLinear-Forecaster,3,LogLoss,,
raw_public_main,r027_dlinear_forecaster_atlas_raw_public,DLinear-Forecaster,3,ECE@10,,
raw_public_main,r027_dlinear_forecaster_atlas_raw_public,DLinear-Forecaster,3,BestF1,,
raw_public_main,r027_dlinear_forecaster_atlas_raw_public,DLinear-Forecaster,3,Precision@P80,0.0,0.0
raw_public_main,r027_dlinear_forecaster_atlas_raw_public,DLinear-Forecaster,3,Recall@P80,0.0,0.0
raw_public_main,r031_tcn_forecaster_atlas_raw_public,TCN-Forecaster,3,AUPRC,0.12445909056115631,0.026146154986316034
raw_public_main,r031_tcn_forecaster_atlas_raw_public,TCN-Forecaster,3,LeadTime@P80,5.0,0.0
raw_public_main,r031_tcn_forecaster_atlas_raw_public,TCN-Forecaster,3,Brier,0.00622664374812648,0.00013472537015406813
raw_public_main,r031_tcn_forecaster_atlas_raw_public,TCN-Forecaster,3,Analog-Fidelity@5,,
raw_public_main,r031_tcn_forecaster_atlas_raw_public,TCN-Forecaster,3,TTE-Err@1,,
raw_public_main,r031_tcn_forecaster_atlas_raw_public,TCN-Forecaster,3,AUROC,,
raw_public_main,r031_tcn_forecaster_atlas_raw_public,TCN-Forecaster,3,LogLoss,,
raw_public_main,r031_tcn_forecaster_atlas_raw_public,TCN-Forecaster,3,ECE@10,,
raw_public_main,r031_tcn_forecaster_atlas_raw_public,TCN-Forecaster,3,BestF1,,
raw_public_main,r031_tcn_forecaster_atlas_raw_public,TCN-Forecaster,3,Precision@P80,1.0,0.0
raw_public_main,r031_tcn_forecaster_atlas_raw_public,TCN-Forecaster,3,Recall@P80,0.08333333333333333,0.0
raw_public_main,r032_transformer_forecaster_atlas_raw_public,Small-Transformer-Forecaster,3,AUPRC,0.34999889071515145,0.03214564905311284
raw_public_main,r032_transformer_forecaster_atlas_raw_public,Small-Transformer-Forecaster,3,LeadTime@P80,3.3333333333333335,2.3570226039551585
raw_public_main,r032_transformer_forecaster_atlas_raw_public,Small-Transformer-Forecaster,3,Brier,0.005597645351814313,0.00030213870647722234
raw_public_main,r032_transformer_forecaster_atlas_raw_public,Small-Transformer-Forecaster,3,Analog-Fidelity@5,,
raw_public_main,r032_transformer_forecaster_atlas_raw_public,Small-Transformer-Forecaster,3,TTE-Err@1,,
raw_public_main,r032_transformer_forecaster_atlas_raw_public,Small-Transformer-Forecaster,3,AUROC,,
